"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 00:39:00:328 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","total-litter-events","bin-utilization-rate","total-agents-spawned","ticks"
"8","3","0","0","0","0","0","0","0","0","0","0"
"3","3","0","0","0","0","0","0","0","0","0","0"
"11","3","0","0","0","0","0","0","0","0","0","0"
"9","3","0","0","0","0","0","0","0","0","0","0"
"5","3","0","0","0","0","0","0","0","0","0","0"
"10","3","0","0","0","0","0","0","0","0","0","0"
"4","3","0","0","0","0","0","0","0","0","0","0"
"6","3","0","0","0","0","0","0","0","0","0","0"
"12","3","0","0","0","0","0","0","0","0","0","0"
"7","3","0","0","0","0","0","0","0","0","0","0"
"2","3","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0"
"8","3","0","0","0","0","0","500","0","0","0","500"
"4","3","0","0","0","0","0","500","0","0","0","500"
"11","3","0","0","0","0","0","500","0","0","0","500"
"9","3","0","0","0","0","0","500","0","0","0","500"
"5","3","0","0","0","0","0","500","0","0","0","500"
"10","3","0","0","0","0","0","500","0","0","0","500"
"12","3","0","0","0","0","0","500","0","0","0","500"
"6","3","0","0","0","0","0","500","0","0","0","500"
"3","3","0","0","0","0","0","500","0","0","0","500"
"2","3","0","0","0","0","0","500","0","0","0","500"
"7","3","0","0","0","0","0","500","0","0","0","500"
"1","3","0","0","0","0","0","500","0","0","0","500"
"8","3","0","0","0","0","0","1000","0","0","0","1000"
"4","3","0","0","0","0","0","1000","0","0","0","1000"
"11","3","0","0","0","0","0","1000","0","0","0","1000"
"5","3","0","0","0","0","0","1000","0","0","0","1000"
"10","3","0","0","0","0","0","1000","0","0","0","1000"
"9","3","0","0","0","0","0","1000","0","0","0","1000"
"12","3","0","0","0","0","0","1000","0","0","0","1000"
"6","3","0","0","0","0","0","1000","0","0","0","1000"
"3","3","0","0","0","0","0","1000","0","0","0","1000"
"2","3","0","0","0","0","0","1000","0","0","0","1000"
"7","3","0","0","0","0","0","1000","0","0","0","1000"
"8","3","0","0","0","0","0","1500","0","0","0","1500"
"4","3","0","0","0","0","0","1500","0","0","0","1500"
"5","3","0","0","0","0","0","1500","0","0","0","1500"
"1","3","0","0","0","0","0","1000","0","0","0","1000"
"10","3","0","0","0","0","0","1500","0","0","0","1500"
"9","3","0","0","0","0","0","1500","0","0","0","1500"
"11","3","0","0","0","0","0","1500","0","0","0","1500"
"12","3","0","0","0","0","0","1500","0","0","0","1500"
"6","3","0","0","0","0","0","1500","0","0","0","1500"
"3","3","0","0","0","0","0","1500","0","0","0","1500"
"2","3","0","0","0","0","0","1500","0","0","0","1500"
"7","3","0","0","0","0","0","1500","0","0","0","1500"
